8411	8509	1382	4159	2706	8731	6009	3576	8248	5799	
3719	8333	8952	660	4716	8525	619	2168	8384	1749	
546	9627	1044	1423	8636	7225	4635	5671	7252	1330	
4259	1774	7355	4576	7712	7352	5805	2408	659	3328	
5410	2921	1996	1788	3892	5698	8569	9419	4696	5648	
5097	2090	4763	6149	4913	8070	9674	9156	2122	7083	
4974	3337	310	7291	4226	4038	7533	4507	7682	8455	
3448	5191	6834	3447	4457	950	2568	2540	5765	1400	
4007	4445	5503	6444	7721	8483	4611	8349	9928	6333	
4715	108	5385	4478	9825	9226	8373	2658	2418	604	
